
2026-01-17 17:01:52.737 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "green", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-0", "raw": {"color": "green", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-0", "size": "large", "text": "HIP 18702", "timestamp": "2026-01-17T17:01:52.737728+00:00", "ttl": 30, "type": "message", "x": 640, "y": 5}, "size": "large", "station": "Meech Base", "system": "HIP 18702", "text": "HIP 18702", "timestamp": "2026-01-17T17:01:52.737728+00:00", "ttl": 30, "type": "message", "x": 640, "y": 5}
2026-01-17 17:01:52.738 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-1", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-1", "size": "normal", "text": "Monarchy of HIP 18702 TrdBuy [H]:3.36K", "timestamp": "2026-01-17T17:01:52.738365+00:00", "ttl": 30, "type": "message", "x": 640, "y": 25}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "Monarchy of HIP 18702 TrdBuy [H]:3.36K", "timestamp": "2026-01-17T17:01:52.738365+00:00", "ttl": 30, "type": "message", "x": 640, "y": 25}
2026-01-17 17:01:52.738 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-2", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-2", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.738689+00:00", "ttl": 30, "type": "message", "x": 640, "y": 39}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.738689+00:00", "ttl": 30, "type": "message", "x": 640, "y": 39}
2026-01-17 17:01:52.738 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-3", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-3", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.738885+00:00", "ttl": 30, "type": "message", "x": 640, "y": 53}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.738885+00:00", "ttl": 30, "type": "message", "x": 640, "y": 53}
2026-01-17 17:01:52.739 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-4", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-4", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.739035+00:00", "ttl": 30, "type": "message", "x": 640, "y": 67}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.739035+00:00", "ttl": 30, "type": "message", "x": 640, "y": 67}
2026-01-17 17:01:52.739 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-5", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-5", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.739396+00:00", "ttl": 30, "type": "message", "x": 640, "y": 81}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.739396+00:00", "ttl": 30, "type": "message", "x": 640, "y": 81}
2026-01-17 17:01:52.739 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-6", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-6", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.739641+00:00", "ttl": 30, "type": "message", "x": 640, "y": 95}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.739641+00:00", "ttl": 30, "type": "message", "x": 640, "y": 95}
2026-01-17 17:01:52.739 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-7", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-7", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.739870+00:00", "ttl": 30, "type": "message", "x": 640, "y": 109}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.739870+00:00", "ttl": 30, "type": "message", "x": 640, "y": 109}
2026-01-17 17:01:52.740 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-8", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-8", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.740147+00:00", "ttl": 30, "type": "message", "x": 640, "y": 123}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.740147+00:00", "ttl": 30, "type": "message", "x": 640, "y": 123}
2026-01-17 17:01:52.740 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-9", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-9", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.740562+00:00", "ttl": 30, "type": "message", "x": 640, "y": 137}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.740562+00:00", "ttl": 30, "type": "message", "x": 640, "y": 137}
2026-01-17 17:01:52.741 UTC - DEBUG - Overlay payload [LegacyOverlay] plugin=BGS-Tally: {"cmdr": "sweetjonnysauce", "color": "#ffffff", "docked": true, "event": "LegacyOverlay", "id": "bgstally-msg-system_info-10", "raw": {"color": "#ffffff", "event": "LegacyOverlay", "id": "bgstally-msg-system_info-10", "size": "normal", "text": "", "timestamp": "2026-01-17T17:01:52.740922+00:00", "ttl": 30, "type": "message", "x": 640, "y": 151}, "size": "normal", "station": "Meech Base", "system": "HIP 18702", "text": "", "timestamp": "2026-01-17T17:01:52.740922+00:00", "ttl": 30, "type": "message", "x": 640, "y": 151}
